City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Qaanaaq,GL,2021-07-17 03:51:02,77.484,-69.3632,34.95,89,94,7.99
67,Saldanha,ZA,2021-07-17 03:51:02,-33.0117,17.9442,41.05,73,0,6.2
68,Codrington,AU,2021-07-17 03:51:03,-38.2667,141.9667,54.09,80,78,25.17
69,Kolpashevo,RU,2021-07-17 03:51:03,58.3131,82.9089,64.08,65,84,7.83
70,Yellowknife,CA,2021-07-17 03:51:03,62.456,-114.3525,52.32,54,75,6.91
71,Bathsheba,BB,2021-07-17 03:51:03,13.2167,-59.5167,79.41,83,40,12.66
72,Portland,US,2021-07-17 03:46:41,45.5234,-122.6762,73.98,64,20,1.99
73,Catamarca,AR,2021-07-17 03:51:04,-28.4696,-65.7852,56.77,58,0,4.09
74,Victoria,HK,2021-07-17 03:50:35,22.2855,114.1577,88.97,80,100,3.0
75,Busselton,AU,2021-07-17 03:51:04,-33.65,115.3333,60.04,64,38,5.44
76,Bethel,US,2021-07-17 03:51:05,41.3712,-73.414,77.92,89,1,3.44
77,Korem,ET,2021-07-17 03:51:05,12.5058,39.5228,57.36,74,100,9.82
78,Kapaa,US,2021-07-17 03:51:05,22.0752,-159.319,82.72,71,90,1.99
79,Huilong,CN,2021-07-17 03:51:05,31.8111,121.655,90.99,79,100,15.59
80,Narsaq,GL,2021-07-17 03:51:06,60.9167,-46.05,48.09,73,100,2.3
81,Barrow,US,2021-07-17 03:49:04,71.2906,-156.7887,42.82,81,90,18.41
82,Rodez,FR,2021-07-17 03:51:06,44.5,2.5833,58.68,88,0,8.05
83,Isangel,VU,2021-07-17 03:51:06,-19.55,169.2667,84.31,70,75,6.91
84,Hilo,US,2021-07-17 03:51:07,19.7297,-155.09,80.33,74,75,10.36
85,Peniche,PT,2021-07-17 03:51:07,39.3558,-9.3811,76.48,94,0,3.76
86,Bubaque,GW,2021-07-17 03:51:07,11.2833,-15.8333,80.15,81,100,9.8
87,Hamilton,US,2021-07-17 03:50:59,39.1834,-84.5333,73.09,95,20,1.99
88,Jenison,US,2021-07-17 03:47:54,42.9072,-85.792,70.05,89,100,5.99
89,Shubarkuduk,KZ,2021-07-17 03:51:08,49.1447,56.4872,82.81,36,19,9.91
90,Oranjemund,NA,2021-07-17 03:51:08,-28.55,16.4333,51.73,77,0,6.62
91,San Patricio,US,2021-07-17 03:51:09,28.017,-97.5169,84.09,83,30,11.97
92,Inta,RU,2021-07-17 03:51:09,66.0317,60.1659,63.21,64,2,4.07
93,Chapais,CA,2021-07-17 03:51:09,49.7834,-74.8492,55.18,76,13,3.18
94,Basco,PH,2021-07-17 03:51:10,20.4487,121.9702,83.97,74,100,8.72
95,Saskylakh,RU,2021-07-17 03:51:10,71.9167,114.0833,52.43,48,8,7.4
96,Lebu,CL,2021-07-17 03:51:10,-37.6167,-73.65,45.43,78,23,8.41
97,Meulaboh,ID,2021-07-17 03:51:11,4.1363,96.1285,83.79,65,64,3.58
98,Teya,RU,2021-07-17 03:51:11,60.3778,92.6267,70.2,40,97,2.17
