City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
88,Kodinsk,RU,79.95,clear sky,58.6881,99.1844,
89,Khatanga,RU,58.77,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
90,Maragogi,BR,74.01,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
92,Dubai,AE,98.22,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
94,Ayorou,NE,81.46,overcast clouds,14.7308,0.9174,Hotel Amenokal
95,Hollins,US,73.44,few clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
96,Cascais,PT,64.62,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
97,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
98,Sisophon,KH,78.53,moderate rain,13.5859,102.9737,Pyramid Hotel
99,Oga,IT,58.69,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
100,Novosil,RU,56.93,scattered clouds,52.9739,37.0405,
102,Nueva Guinea,NI,74.35,light rain,11.6876,-84.4562,Posadita La Reyna
103,Effingham,US,82.29,few clouds,32.3669,-81.3332,Countryside Village
104,Chumikan,RU,62.01,overcast clouds,54.7183,135.315,Fortuna
106,Jamestown,US,65.84,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
107,Hearst,CA,73.65,overcast clouds,49.6835,-83.6665,Companion
108,Ewa Beach,US,83.98,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
109,Quatre Cocos,MU,68.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
110,Oktyabrskiy,RU,66.47,broken clouds,54.4815,53.471,Уязы-Тау гостиница
111,Cabo San Lucas,MX,92.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
112,Esperance,AU,55.24,light rain,-33.8667,121.9,Hospitality Esperance
113,Laguna,US,98.42,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
115,Seda,LV,52.32,clear sky,57.65,25.75,Nakts mājas
116,Beyneu,KZ,83.8,clear sky,45.3167,55.2,NUR
118,Freetown,SL,74.93,heavy intensity rain,8.484,-13.2299,The Country Lodge Hotel
119,Usinsk,RU,54.19,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
120,Lompoc,US,72.57,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
121,Eganville,CA,69.35,clear sky,45.5334,-77.0994,Egan Inn
122,Kidal,ML,87.8,overcast clouds,18.4411,1.4078,
123,Filingue,NE,82.96,overcast clouds,14.3521,3.3168,
124,Moerai,PF,72.34,overcast clouds,-22.4333,-151.3333,Le Manotel
125,Mahebourg,MU,68.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,Mar Del Plata,AR,51.13,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
128,Namibe,AO,64.15,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
129,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
130,Kavieng,PG,84.96,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
131,San Patricio,US,84.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
