City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Balakovo,RU,52.0278,47.8007,65.12,57,3,4.76,clear sky
79,Mataura,NZ,-46.1927,168.8643,55.47,72,18,4.52,few clouds
80,Springbok,ZA,-29.6643,17.8865,41.67,30,0,13.44,clear sky
81,Souillac,MU,-20.5167,57.5167,68.36,94,75,5.75,light intensity shower rain
82,Avera,US,33.194,-82.5271,81.72,67,10,4.09,clear sky
83,Sindor,RU,62.8629,51.8905,47.35,96,100,8.86,overcast clouds
84,Miri,MY,4.4148,114.0089,86.14,62,40,10.36,scattered clouds
85,Aklavik,CA,68.2191,-135.0107,67.03,30,38,5.48,scattered clouds
86,Buriti Bravo,BR,-5.8372,-43.8336,69.75,43,6,4.76,clear sky
87,Wanaka,NZ,-44.7,169.15,46.18,80,13,1.36,few clouds
88,Kodinsk,RU,58.6881,99.1844,79.95,41,6,5.14,clear sky
89,Khatanga,RU,71.9667,102.5,58.77,52,99,5.97,overcast clouds
90,Maragogi,BR,-9.0122,-35.2225,74.01,78,26,11.7,scattered clouds
91,Luderitz,NA,-26.6481,15.1594,62.37,24,13,21.45,few clouds
92,Dubai,AE,25.2582,55.3047,98.22,36,4,6.91,clear sky
93,General Roca,AR,-39.0333,-67.5833,46.8,45,98,8.39,overcast clouds
94,Ayorou,NE,14.7308,0.9174,81.46,65,98,13.09,overcast clouds
95,Hollins,US,37.3413,-79.9431,73.44,77,21,1.39,few clouds
96,Cascais,PT,38.6979,-9.4215,64.62,75,4,4.0,clear sky
97,Georgetown,MY,5.4112,100.3354,88.9,76,20,1.99,few clouds
98,Sisophon,KH,13.5859,102.9737,78.53,83,100,8.75,moderate rain
99,Oga,IT,46.4631,10.347,58.69,91,98,3.18,overcast clouds
100,Novosil,RU,52.9739,37.0405,56.93,85,33,5.88,scattered clouds
101,Qaanaaq,GL,77.484,-69.3632,38.95,77,87,1.07,overcast clouds
102,Nueva Guinea,NI,11.6876,-84.4562,74.35,90,100,10.04,light rain
103,Effingham,US,32.3669,-81.3332,82.29,87,19,4.9,few clouds
104,Chumikan,RU,54.7183,135.315,62.01,82,98,11.5,overcast clouds
105,Ancud,CL,-41.8697,-73.8203,36.93,81,0,7.61,clear sky
106,Jamestown,US,42.097,-79.2353,65.84,71,1,1.99,clear sky
107,Hearst,CA,49.6835,-83.6665,73.65,68,99,7.16,overcast clouds
108,Ewa Beach,US,21.3156,-158.0072,83.98,63,40,24.0,scattered clouds
109,Quatre Cocos,MU,-20.2078,57.7625,68.09,73,44,12.01,scattered clouds
110,Oktyabrskiy,RU,54.4815,53.471,66.47,54,63,3.27,broken clouds
111,Cabo San Lucas,MX,22.8909,-109.9124,92.5,72,0,5.99,clear sky
112,Esperance,AU,-33.8667,121.9,55.24,75,93,21.07,light rain
113,Laguna,US,38.421,-121.4238,98.42,15,1,9.22,clear sky
114,Upernavik,GL,72.7868,-56.1549,38.55,97,100,11.88,overcast clouds
115,Seda,LV,57.65,25.75,52.32,89,8,2.98,clear sky
116,Beyneu,KZ,45.3167,55.2,83.8,43,7,10.51,clear sky
117,Dikson,RU,73.5069,80.5464,43.9,78,100,27.36,light rain
118,Freetown,SL,8.484,-13.2299,74.93,96,100,11.83,heavy intensity rain
119,Usinsk,RU,65.9939,57.5281,54.19,79,100,9.82,overcast clouds
120,Lompoc,US,34.6391,-120.4579,72.57,88,90,1.99,overcast clouds
121,Eganville,CA,45.5334,-77.0994,69.35,69,1,3.96,clear sky
122,Kidal,ML,18.4411,1.4078,87.8,42,97,12.75,overcast clouds
123,Filingue,NE,14.3521,3.3168,82.96,62,100,16.24,overcast clouds
124,Moerai,PF,-22.4333,-151.3333,72.34,63,88,10.58,overcast clouds
125,Mahebourg,MU,-20.4081,57.7,68.25,94,75,5.75,light intensity shower rain
126,Havoysund,NO,70.9963,24.6622,45.48,93,100,26.89,overcast clouds
127,Mar Del Plata,AR,-38.0023,-57.5575,51.13,66,0,20.0,clear sky
128,Namibe,AO,-15.1961,12.1522,64.15,83,0,3.74,clear sky
129,Alofi,NU,-19.0595,-169.9187,80.49,83,16,10.36,few clouds
130,Kavieng,PG,-2.5744,150.7967,84.96,72,100,14.36,overcast clouds
131,San Patricio,US,28.017,-97.5169,84.29,77,0,13.22,clear sky
132,Kushmurun,KZ,52.4503,64.6311,75.31,57,100,8.9,overcast clouds
133,Vostok,RU,46.4856,135.8833,90.88,42,100,4.81,overcast clouds
134,New Norfolk,AU,-42.7826,147.0587,54.9,63,95,10.54,overcast clouds
135,Norman Wells,CA,65.282,-126.8329,60.84,72,90,6.91,overcast clouds
136,Cape Town,ZA,-33.9258,18.4232,48.11,86,0,3.44,clear sky
137,Kargil,IN,34.5667,76.1,62.73,49,12,2.75,few clouds
138,Fairbanks,US,64.8378,-147.7164,72.1,78,75,8.05,moderate rain
139,Nsoko,SZ,-27.0333,31.95,46.04,67,3,4.92,clear sky
140,Turukhansk,RU,65.8167,87.9833,76.68,55,39,21.56,scattered clouds
141,Sitka,US,57.0531,-135.33,54.46,97,100,3.56,moderate rain
142,Saint George,US,37.1041,-113.5841,88.39,39,75,11.99,broken clouds
143,Kondinskoye,RU,59.6481,67.41,63.52,70,100,4.03,overcast clouds
144,Carnarvon,AU,-24.8667,113.6333,64.47,51,77,16.11,broken clouds
145,Tilichiki,RU,60.4667,166.1,59.45,72,99,7.43,overcast clouds
146,Auki,SB,-8.7676,160.7034,83.39,75,38,1.54,scattered clouds
147,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,93,0,13.8,clear sky
148,Nanortalik,GL,60.1432,-45.2371,41.97,90,74,10.87,broken clouds
149,Moron,AR,-34.6534,-58.6198,62.98,80,100,4.59,overcast clouds
150,Portland,US,45.5234,-122.6762,83.57,44,0,3.0,clear sky
151,Fortuna,US,40.5982,-124.1573,60.93,75,1,1.99,clear sky
152,Mandalgovi,MN,45.7625,106.2708,71.64,36,100,1.77,light rain
153,La Ronge,CA,55.1001,-105.2842,64.65,59,40,8.05,scattered clouds
154,Tateyama,JP,34.9833,139.8667,90.14,70,22,3.91,few clouds
155,Clyde River,CA,70.4692,-68.5914,35.83,87,40,11.5,scattered clouds
156,Yulara,AU,-25.2406,130.9889,62.44,31,93,11.5,overcast clouds
157,Tiksi,RU,71.6872,128.8694,45.77,80,58,9.57,broken clouds
158,Avarua,CK,-21.2078,-159.775,77.05,69,0,11.5,clear sky
159,Lexington,US,37.9887,-84.4777,71.89,69,1,5.75,clear sky
160,Kentau,KZ,43.5206,68.5094,92.26,18,0,6.04,clear sky
161,Pisco,PE,-13.7,-76.2167,62.65,77,90,14.97,overcast clouds
162,Kyra,RU,49.5776,111.9753,70.66,45,28,14.07,scattered clouds
163,Saint Anthony,US,45.0205,-93.218,86.25,73,20,1.99,few clouds
164,Nemuro,JP,43.3236,145.575,81.03,90,77,13.22,broken clouds
165,Kiunga,PG,-6.1219,141.2906,77.7,91,100,1.21,overcast clouds
166,Deputatskiy,RU,69.3,139.9,63.39,48,89,10.47,overcast clouds
167,Gravdal,NO,68.1214,13.5031,52.02,97,100,14.54,light rain
168,Valley City,US,46.9233,-98.0032,84.72,61,40,12.66,scattered clouds
169,Airai,TL,-8.9266,125.4092,77.32,20,57,4.83,broken clouds
170,Shushtar,IR,32.0455,48.8567,96.51,19,0,5.61,clear sky
171,Puerto Escondido,MX,15.85,-97.0667,81.95,78,66,6.13,broken clouds
172,Ndele,CF,8.4109,20.6473,68.16,97,99,2.35,light rain
173,Saskylakh,RU,71.9167,114.0833,56.95,69,96,15.41,overcast clouds
174,Gold Coast,AU,-28.0,153.4333,72.34,52,40,8.01,scattered clouds
175,Cleburne,US,32.3476,-97.3867,87.82,64,1,8.05,clear sky
176,Saquarema,BR,-22.92,-42.5103,68.02,84,0,12.88,clear sky
177,Peniche,PT,39.3558,-9.3811,64.72,92,45,8.86,scattered clouds
178,Omboue,GA,-1.5746,9.2618,72.59,81,100,4.52,overcast clouds
179,Qingdao,CN,36.0986,120.3719,91.0,55,40,4.47,scattered clouds
180,Newport,GB,51.5877,-2.9984,63.09,87,100,16.82,light rain
181,Bonnyville,CA,54.2668,-110.735,71.4,42,32,15.17,scattered clouds
182,Ascope,PE,-7.7144,-79.1078,64.99,84,63,4.47,broken clouds
183,Geraldton,AU,-28.7667,114.6,61.21,88,90,8.05,overcast clouds
184,Hvolsvollur,IS,63.7533,-20.2243,53.82,98,100,10.74,light rain
185,Bengkulu,ID,-3.8004,102.2655,83.39,66,96,1.21,overcast clouds
186,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,75,11.01,broken clouds
187,Tasiilaq,GL,65.6145,-37.6368,38.12,99,100,1.88,light rain
188,Nortelandia,BR,-14.4547,-56.8028,71.87,45,4,4.43,clear sky
189,Kahului,US,20.8947,-156.47,83.46,81,25,11.99,scattered clouds
190,Pallasovka,RU,50.05,46.8833,68.16,45,0,4.65,clear sky
191,Mut,TR,36.6439,33.4389,72.77,42,0,8.19,clear sky
192,Miraflores,MX,19.2167,-98.8083,66.87,77,38,2.68,scattered clouds
193,Touros,BR,-5.1989,-35.4608,74.3,83,20,15.48,few clouds
194,El Alto,PE,-4.2714,-81.2147,62.94,85,50,15.93,scattered clouds
195,Faya,SA,18.3851,42.4509,61.32,63,100,3.8,overcast clouds
196,Kruisfontein,ZA,-34.0033,24.7314,40.89,80,2,5.79,clear sky
197,Florida,US,28.7505,-82.5001,78.01,67,75,3.44,broken clouds
